T_K,P_CO_bar,P_H2_bar,CO_cov,H_cov,vacancy,CH4_TOF,MeOH_TOF,EtOH_TOF,PrOH_TOF,CO2_TOF,S_CH4,S_MeOH,S_EtOH,S_PrOH,max_rel_residual,max_abs_balance,success
573.0,1.0,5.0,0.998532976956814,3.5887323542039107e-09,5.69933202952177e-12,1.4479155211923892e-13,4.3989952497812273e-13,9.20570135352615e-15,1.7097459167428567e-34,1.5397188045527908e-13,0.24007785901691997,0.7293943230357501,0.030527817947329804,8.504753208595629e-22,4.009913684498144e-15,2.6271549079852177e-21,True
573.0,1.0,10.0,0.9960749689419808,5.0627406733243836e-09,5.685302443988746e-12,2.0092751571253724e-13,1.7507279864578383e-12,2.5592871658126088e-14,9.46307628831732e-32,2.2642455951324886e-13,0.10032123922219216,0.8741221953577586,0.02555656542004938,1.4174477846872117e-19,7.758483524961041e-13,1.20580484727006e-20,True
573.0,3.0,0.5,0.9998656942485602,3.7879049351749927e-10,1.9023129290525508e-12,1.535152068503801e-14,1.4704048059292717e-15,2.889147308213023e-16,1.791028034001133e-36,1.5640354112775747e-14,0.8822837291013312,0.08450721345984918,0.033209057438819425,3.0880228581595397e-22,3.398562539862378e-15,2.606311480391492e-23,True
573.0,3.0,1.0,0.999644168001289,5.355719677501945e-10,1.9018914602025516e-12,2.1402217010209082e-14,5.878945487464732e-15,8.05871777071315e-16,4.9946196150629677e-36,2.220778314513908e-14,0.7407429689428406,0.20347366502079955,0.05578336603635973,5.185999227047947e-22,4.499839271681316e-15,3.9168169045209044e-23,True
573.0,3.0,2.0,0.999040356434289,7.569556428116999e-10,1.9007426673624505e-12,2.943361194524623e-14,2.3486835169257117e-14,2.2168718537159547e-15,1.3731394973970592e-35,3.164931684970955e-14,0.5131902573018129,0.40950512652467785,0.0773046161735092,7.182419337028978e-22,3.0532350819976605e-15,1.2546825204902337e-22,True
573.0,3.0,5.0,0.9963695447406297,1.193652322781112e-09,1.8956612652850133e-12,4.303218720084186e-14,1.4599842603460679e-13,8.095589400065735e-15,5.001035738825755e-35,5.1120808457329343e-14,0.20968624615353323,0.711417752405624,0.0788960014408428,7.310679371650803e-22,4.252996231799566e-15,3.6701431760158244e-22,True
573.0,3.0,10.0,0.9899862349161982,1.6772645077994612e-09,1.8835165813749506e-12,5.42666172369216e-14,5.764630286162676e-13,2.0366664976945146e-14,1.3041710341590991e-34,7.460626720191696e-14,0.08081848023220442,0.8585179665690061,0.060663553198789535,5.826848602895145e-22,4.468963331999698e-15,4.841722926861689e-22,True
573.0,10.0,0.5,0.9996730761130291,1.1361525653950784e-10,5.705839379592121e-13,4.414393042188372e-15,4.4095144708804114e-16,2.7643320375734484e-16,5.139969103881908e-37,4.690808406381871e-15,0.8162390717432264,0.08153370042386372,0.10222722783290984,2.8512030329281245e-22,3.0630261415275198e-15,7.323266918184229e-24,True
573.0,10.0,1.0,0.9990992787601193,1.6058401094058116e-10,5.7025643133626e-13,5.915894697108964e-15,1.7617610719556817e-15,7.406895793076824e-16,1.3764396903063087e-36,6.6565145980644995e-15,0.6459080835285629,0.19235226045829013,0.16173965601314716,4.508465251551219e-22,3.979159082400462e-15,6.67070523887067e-24,True
573.0,10.0,2.0,0.9974980145897512,2.2673611110128655e-10,5.693424769266903e-13,7.574538325874035e-15,7.0243089077438706e-15,1.895285992926872e-15,3.516624888042257e-36,9.469550709658488e-15,0.41189654961227534,0.3819755710558915,0.20612787933183305,5.736926510955836e-22,3.5684581804326255e-15,3.6335367167977675e-23,True
573.0,10.0,5.0,0.9902888460769556,3.55910290790259e-10,5.652276959470559e-13,9.339147442332758e-15,4.326652505756048e-14,5.827688550412945e-15,1.0734220929868344e-35,1.5165168051747078e-14,0.14533138659204603,0.6732931585523977,0.18137545485555617,5.011225772017993e-22,3.2216347901768955e-15,2.7420062274054014e-22,True
573.0,10.0,10.0,0.9730195843747429,4.94555729172443e-10,5.553709101806434e-13,9.660886915117482e-15,1.6706180997422504e-13,1.2008031283882871e-14,2.1732842347225688e-35,2.1662478042449572e-14,0.04812666443314212,0.8322349426988516,0.11963839286800636,3.247929160168393e-22,3.931281898511e-15,1.1160733395885303e-22,True
623.0,0.1,0.5,0.9999764326017127,1.4663412733839628e-07,2.0370774612259793e-09,1.244806349817395e-10,2.7293564209704966e-12,1.1134463884328768e-14,4.951480500379127e-32,1.2447571406494713e-10,0.9783732102094864,0.021451763993511917,0.0001750257970016036,1.1675059031847584e-21,2.0507635888646512e-15,5.087468011484308e-20,True
623.0,0.1,1.0,0.9999532919606748,2.0736717275525158e-07,2.0370303208367066e-09,1.7646539269671222e-10,1.0916833738229721e-11,3.263944081980487e-14,1.4514617671345455e-31,1.7645229113330965e-10,0.9414123298076358,0.05823941865639767,0.00034825153596661494,2.3229891985222644e-21,2.8272987992372688e-15,7.742333469990052e-20,True
623.0,0.1,2.0,0.9999065946863451,2.932477729505415e-07,2.0369351926297446e-09,2.5075397881180105e-10,4.366257260429376e-11,9.689057382561904e-14,4.3085307365521195e-31,2.5072000071766706e-10,0.8511377609525776,0.1482044849694683,0.0006577540779541698,4.387351963244397e-21,4.3730866315477065e-15,3.986277205193777e-19,True
623.0,0.1,5.0,0.9997625440405855,4.635986431024258e-07,2.0366417433901576e-09,4.0216321430601603e-10,2.727995836631764e-10,4.1897565427984043e-13,1.862851916417976e-30,4.020507202187142e-10,0.5950914004398775,0.40366866114712846,0.001239938412994102,8.269531744714076e-21,3.5287620274298795e-15,3.3543216023993088e-19,True
623.0,0.1,10.0,0.9995097017386491,6.554616788372812e-07,2.0361266718967433e-09,5.8231440252374e-10,1.0905587154845036e-09,1.3021265194021427e-12,5.788087330795343e-30,5.820567336088577e-10,0.34755133825522044,0.6508943267929582,0.0015543349518214156,1.036376992757274e-20,5.561843938448441e-15,7.140423024933168e-19,True
623.0,0.3,0.5,0.9999763788026439,4.887803981647696e-08,6.790257838768421e-10,4.1485142401407193e-11,9.097854252358958e-13,1.0663342432538302e-14,1.5807175432592238e-32,4.149397866355604e-11,0.978048224181408,0.021448980720092988,0.0005027950984990991,1.1180036248818373e-21,3.637769586254957e-15,3.0720574285208134e-20,True
623.0,0.3,1.0,0.9999527037451714,6.912235025765604e-08,6.790097075226408e-10,5.879723617527471e-11,3.638940573070624e-12,3.077316770272891e-14,4.5616843511125727e-32,5.882275363389901e-11,0.9407900524069142,0.05822517035051373,0.0009847772425722126,2.1896882603225254e-21,3.161321176003116e-15,2.886638656062786e-20,True
623.0,0.3,2.0,0.9999041098678212,9.774901473832514e-08,6.789767102475463e-10,8.351350843991241e-11,1.4554120048787207e-11,8.951848691774804e-14,1.3269248880437521e-31,8.358778989682315e-11,0.8500391137626857,0.1481385651133086,0.0018223211240056705,4.051816563330859e-21,4.263833231148464e-15,2.5541918830133937e-20,True
