regime,code,type,X_EtOH,residual_low,residual_high
high_activity,S25,surface_TS,-0.9543622279089646,4.686843829674731e-15,4.316874560461454e-15
high_activity,S26,surface_TS,5.903776731548489e-05,3.5031168738980136e-15,4.031738294441133e-15
high_activity,S27,surface_TS,0.0,3.433119442286409e-15,3.433119442286409e-15
high_activity,S28,surface_TS,-0.0160125554005487,4.538273034271548e-15,5.478746041939011e-15
high_activity,S29,surface_TS,-0.0086657755039936,3.990131700163968e-15,5.268782749211621e-15
high_activity,S30,surface_TS,0.0,3.433119442286409e-15,3.433119442286409e-15
high_activity,S31,surface_TS,0.0,5.282425630902653e-15,5.471054520977286e-15
high_activity,S32,surface_TS,-2.0603839649253025e-13,3.433119442286409e-15,3.576166085714984e-15
high_activity,S33,surface_TS,0.0002851692990714,5.545752693602738e-15,4.295430146975504e-15
high_activity,S34,surface_TS,6.657128199818782e-05,4.246476654332085e-15,4.508155487164321e-15
high_activity,S35,surface_TS,0.4847624888858265,5.138898143359432e-15,3.791815104645725e-15
high_activity,S36,surface_TS,0.0,3.433119442286409e-15,3.433119442286409e-15
high_activity,S37,surface_TS,0.000417641550729,6.3884436342350955e-15,4.4586655324533025e-15
high_activity,S39,surface_TS,0.0004299181591317,4.40051724271905e-15,5.273002458994832e-15
high_activity,S40,surface_TS,0.015635732541709,4.330325865919181e-15,3.306090106565996e-15
high_activity,S41,surface_TS,0.00011863884917,5.544308652189128e-15,3.165915142903444e-15
high_activity,S42,surface_TS,0.9637958122839804,5.542852893187749e-15,4.354008348057767e-15
high_activity,S43,surface_TS,0.0,3.576166085714984e-15,3.576166085714984e-15
high_activity,S44,surface_TS,0.0,4.050666037883486e-15,5.015421616034463e-15
high_activity,S45,surface_TS,4.120767929850605e-13,4.141307699550117e-15,3.576166085714984e-15
